annotation_id,image_id,category_id,bbox_x,bbox_y,bbox_w,bbox_h,score
1,1,27926,595.7093505859375,670.781982421875,258.4208984375,481.5792236328125,0.919206440448761
2,1,16551,554.04345703125,63.5946044921875,401.81201171875,413.41021728515625,0.9116049408912659
3,1,24850,170.12081909179688,740.115966796875,183.30206298828125,292.856201171875,0.8945168256759644
4,1,1900,156.2275848388672,251.3710174560547,205.96534729003906,124.95069885253906,0.7795202136039734
5,10,21771,640.50732421875,286.56982421875,191.0517578125,186.693603515625,0.9597029685974121
6,10,16548,102.95030975341797,805.916259765625,242.23688507080078,240.001708984375,0.8551796078681946
7,10,29451,103.6689453125,233.72142028808594,415.10791015625,225.47474670410156,0.8031883835792542
8,10,1900,643.18701171875,842.8267822265625,190.61328125,191.337646484375,0.6384475231170654
9,100,16548,583.4903564453125,131.331787109375,236.5279541015625,224.66943359375,0.8729070425033569
10,100,1900,134.34344482421875,244.49327087402344,192.13775634765625,162.02052307128906,0.840191662311554
11,100,33009,513.2952880859375,793.2526245117188,386.9854736328125,209.985595703125,0.8224144577980042
12,100,18110,42.983642578125,745.289794921875,308.71661376953125,303.0250244140625,0.7553535103797913
13,1003,34597,26.6077880859375,156.31024169921875,461.60943603515625,419.20794677734375,0.8831273913383484
14,1003,27733,120.4796142578125,769.18359375,318.8233642578125,278.51953125,0.8320631980895996
15,1003,16232,645.46240234375,183.9245147705078,197.3035888671875,183.88719177246094,0.811900794506073
16,1003,3483,604.2674560546875,791.6822509765625,275.2119140625,207.794921875,0.7985454201698303
17,1004,27733,560.5482177734375,257.44189453125,308.8931884765625,273.5086669921875,0.8868358731269836
18,1004,16232,140.15585327148438,890.597900390625,200.79397583007812,196.366943359375,0.8668415546417236
19,1004,34597,505.03857421875,655.9344482421875,461.0731201171875,440.701904296875,0.8644074201583862
20,1004,3483,123.28651428222656,307.03509521484375,272.92588806152344,201.109619140625,0.7913398742675781
21,1005,34597,18.4195556640625,120.90484619140625,447.71923828125,433.41278076171875,0.862899124622345
22,1005,27733,85.89251708984375,725.4012451171875,325.624755859375,281.32275390625,0.861242413520813
23,1005,16232,617.6222534179688,176.87452697753906,190.561279296875,186.04844665527344,0.8361135721206665
24,1005,3483,573.9302978515625,760.8759765625,279.94384765625,207.6163330078125,0.8064834475517273
25,1006,25469,46.870208740234375,856.325439453125,379.6536865234375,220.131103515625,0.8846170902252197
26,1006,25367,44.15998840332031,175.97767639160156,453.28746032714844,426.62998962402344,0.8614067435264587
27,1006,20238,615.6624755859375,194.05545043945312,230.15771484375,220.3956298828125,0.8250126242637634
28,1006,3483,600.6754150390625,842.7303466796875,279.023193359375,191.0797119140625,0.7336254119873047
29,1007,25469,11.685028076171875,812.2271728515625,386.3428649902344,225.5810546875,0.8866584300994873
30,1007,25367,24.219467163085938,149.91233825683594,450.23744201660156,429.16786193847656,0.8451583385467529
31,1007,20238,585.471435546875,189.6899871826172,226.8935546875,216.41236877441406,0.8238306045532227
32,1007,3483,571.0172729492188,811.1339111328125,283.62060546875,193.0966796875,0.7304744720458984
33,1009,22347,76.42041778564453,195.4823760986328,204.85027313232422,199.25205993652344,0.9153372049331665
34,1009,25469,11.79779052734375,812.601318359375,386.058349609375,225.0888671875,0.8857210874557495
35,1009,16262,542.305419921875,186.54774475097656,242.412353515625,231.40281677246094,0.8498884439468384
36,1009,3483,570.7703857421875,810.8768920898438,283.866455078125,193.0731201171875,0.721346378326416
37,1010,22347,91.72198486328125,204.46292114257812,210.84664916992188,201.30133056640625,0.925897479057312
38,1010,25469,47.06854248046875,856.63134765625,379.88031005859375,219.853271484375,0.8823760747909546
